# alignment_mean,alignment_std,ave_fitness_mean,ave_fitness_std,ave_genome_length_mean,ave_genome_length_std,ave_tree_depth_mean,ave_tree_depth_std,ave_tree_nodes_mean,ave_tree_nodes_std,ave_used_codons_mean,ave_used_codons_std,best_fitness_mean,best_fitness_std,complexity_mean,complexity_std,generalization_mean,generalization_std,invalids_mean,invalids_std,max_genome_length_mean,max_genome_length_std,max_tree_depth_mean,max_tree_depth_std,max_tree_nodes_mean,max_tree_nodes_std,max_used_codons_mean,max_used_codons_std,min_genome_length_mean,min_genome_length_std,min_tree_depth_mean,min_tree_depth_std,min_tree_nodes_mean,min_tree_nodes_std,min_used_codons_mean,min_used_codons_std,precision_mean,precision_std,regens_mean,regens_std,runtime_error_mean,runtime_error_std,simplicity_mean,simplicity_std,time_taken_mean,time_taken_std,total_time_mean,total_time_std,unique_inds_mean,unique_inds_std,unused_search_mean,unused_search_std
9.787313545701100681e-01,1.072444204509638219e-02,4.822129619825530900e-01,9.238069454092688593e-02,9.779650000000000887e+01,1.300844551627902845e+01,1.302100000000000080e+01,1.239054881754638071e+00,1.165105000000000075e+02,1.906048112587927434e+01,7.554650000000000887e+01,1.115062351395651774e+01,9.673466598830173790e-01,6.216019162844727865e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.275000000000000000e+02,3.305676935213119094e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.292500000000000000e+02,5.740807869977883371e+01,4.052500000000000000e+02,3.702279703101860520e+01,3.150000000000000000e+01,9.205976319760983628e+00,4.750000000000000000e+00,1.299038105676658006e+00,1.550000000000000000e+01,6.062177826491070398e+00,9.250000000000000000e+00,3.897114317029974018e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.426127642393112183e+01,1.327107869664856210e+01,2.175138391971588135e+04,4.030830069913429270e+03,1.049930000000000000e+05,1.216001428864292029e+04,4.723969849246230979e+01,6.110559944041670910e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.725827048482282300e-01,7.707284366357367023e-02,9.962950000000000728e+01,1.465466256008646617e+01,1.318049999999999855e+01,1.038906516487407172e+00,1.192395000000000067e+02,1.912714737617714178e+01,7.737950000000000728e+01,1.134453105024619290e+01,9.673466598830173790e-01,6.216019162844727865e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.620000000000000000e+02,2.071231517720798010e+01,2.050000000000000000e+01,5.000000000000000000e-01,6.765000000000000000e+02,3.908004605933826525e+01,4.397500000000000000e+02,2.408708159989499364e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.620851624011994829e+01,2.912147734709273905e+01,2.182759243595600128e+04,4.050210752925199813e+03,1.052202500000000000e+05,1.219124342253488066e+04,4.725802005012531026e+01,6.110898958664099823e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.712738357067350337e-01,5.911288799949034056e-02,9.582800000000000296e+01,1.259656977117183452e+01,1.302250000000000085e+01,1.371718174407557278e+00,1.134260000000000019e+02,1.842278757408877610e+01,7.357800000000000296e+01,1.074193045965202842e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,3.997500000000000000e+02,3.963820757804268169e+01,2.050000000000000000e+01,5.000000000000000000e-01,5.787500000000000000e+02,5.897192128462494054e+01,3.775000000000000000e+02,3.522428139792208412e+01,3.225000000000000000e+01,9.959292143521045304e+00,5.000000000000000000e+00,1.732050807568877193e+00,1.650000000000000000e+01,7.794228634059948035e+00,1.000000000000000000e+01,5.196152422706632024e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.518871581554412842e+01,2.038534234079497764e+01,2.190278115177154541e+04,4.062121227551227548e+03,1.054485000000000000e+05,1.222061632038253629e+04,4.727575000000000927e+01,6.110308160191263660e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.718938007242325372e-01,6.712342367026404022e-02,9.850300000000000011e+01,1.393835761486984026e+01,1.316600000000000037e+01,1.304045244613852406e+00,1.176064999999999969e+02,2.041297917380018134e+01,7.625300000000000011e+01,1.203776611336173374e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.665000000000000000e+02,1.789553016817328057e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.790000000000000000e+02,3.516390194503448186e+01,4.442500000000000000e+02,2.147527648250424903e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.706004977226257324e+01,2.934699467762823133e+01,2.197984120154380798e+04,4.080310991402982381e+03,1.056767500000000000e+05,1.225067870313722597e+04,4.729339152119700884e+01,6.110064191090889274e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.711341520777097003e-01,8.055684165505699879e-02,9.679699999999999704e+01,1.246298491534031250e+01,1.310200000000000031e+01,1.420721647614339167e+00,1.149505000000000052e+02,1.994542661238411085e+01,7.454699999999999704e+01,1.178032227912293273e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+02,1.178982612255159523e+01,2.025000000000000000e+01,4.330127018922192983e-01,7.025000000000000000e+02,1.581929201955637510e+01,4.577500000000000000e+02,1.105384548471707262e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.668684554100036621e+01,2.786718168617383640e+01,2.205652804708480835e+04,4.098459046313990257e+03,1.059107500000000000e+05,1.226530053392496302e+04,4.730808457711442827e+01,6.102139569116898699e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.657445959153985182e-01,6.739725017103596894e-02,9.734100000000000819e+01,1.362604495075515842e+01,1.305949999999999989e+01,1.340641917142680217e+00,1.157400000000000091e+02,2.028694619700067392e+01,7.509100000000000819e+01,1.194450086860058491e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.852500000000000000e+02,1.200780995852282729e+01,2.025000000000000000e+01,4.330127018922192983e-01,7.080000000000000000e+02,3.134485603731495829e+01,4.630000000000000000e+02,1.812456896039185850e+01,3.050000000000000000e+01,8.529361054615989701e+00,4.500000000000000000e+00,5.000000000000000000e-01,1.350000000000000000e+01,1.658312395177699905e+00,8.250000000000000000e+00,1.299038105676658006e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.302061253786087036e+01,3.092672968694636637e+01,2.212954865962266922e+04,4.117781105092458347e+03,1.061502500000000000e+05,1.229900980516317759e+04,4.731997518610421594e+01,6.103726950453187250e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.661238106049272467e-01,7.673783540546971760e-02,1.011939999999999884e+02,1.170395839021994888e+01,1.313200000000000145e+01,1.211809390952223620e+00,1.215474999999999994e+02,1.811723811042952192e+01,7.894399999999998840e+01,1.058617693031814078e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.740000000000000000e+02,3.023243291566194912e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.927500000000000000e+02,5.635767472137224132e+01,4.517500000000000000e+02,3.447734763580284323e+01,3.000000000000000000e+01,8.396427811873332203e+00,4.250000000000000000e+00,4.330127018922192983e-01,1.300000000000000000e+01,1.732050807568877193e+00,7.750000000000000000e+00,1.299038105676658006e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.735441511869430542e+01,2.763384321413939304e+01,2.220690307474136353e+04,4.138516329780074557e+03,1.063945000000000000e+05,1.231942747249237982e+04,4.732945544554455353e+01,6.098726471530881099e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.623422893841824255e-01,8.130229840924947660e-02,9.861099999999999000e+01,1.388415748254102589e+01,1.311899999999999977e+01,1.243635396730086384e+00,1.176854999999999905e+02,1.965085190901401901e+01,7.636099999999999000e+01,1.160107016615277509e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.567500000000000000e+02,3.133189269737786020e+01,2.025000000000000000e+01,4.330127018922192983e-01,6.667500000000000000e+02,4.308929681487039431e+01,4.345000000000000000e+02,2.739069184960467496e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.893690174818038940e+01,2.728682744106329849e+01,2.227583997648954391e+04,4.155937374520546655e+03,1.066530000000000000e+05,1.233999019448557010e+04,4.733185185185185162e+01,6.093822318264479954e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.596500718617417824e-01,5.571996653520640275e-02,9.786050000000000182e+01,1.476715709776258656e+01,1.305799999999999983e+01,1.352967109725879080e+00,1.165134999999999934e+02,2.312773405999819332e+01,7.561050000000000182e+01,1.384581809608951986e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.735000000000000000e+02,1.761391495380853556e+01,2.000000000000000000e+01,0.000000000000000000e+00,6.875000000000000000e+02,3.161091583614748757e+01,4.512500000000000000e+02,1.961345201640955338e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.268414765596389771e+01,2.619918881145333245e+01,2.233852412414550781e+04,4.170070785170338240e+03,1.068960000000000000e+05,1.236700535699730426e+04,4.734187192118226051e+01,6.092120865515914474e+00
9.787313545701100681e-01,1.072444204509638219e-02,4.620194219868888341e-01,6.121031850414830611e-02,9.797950000000000159e+01,1.381244108584720998e+01,1.302499999999999858e+01,1.278554261656501101e+00,1.165760000000000076e+02,2.094091554827534196e+01,7.572950000000000159e+01,1.237924790728419211e+01,9.673466598830184893e-01,6.216019162842564665e-03,9.696766127884606234e-01,4.747003268271912137e-03,9.594802978833525398e-01,7.012350933443723018e-04,0.000000000000000000e+00,0.000000000000000000e+00,4.610000000000000000e+02,3.360803475361211667e+01,2.050000000000000000e+01,5.000000000000000000e-01,6.672500000000000000e+02,6.087846499378905918e+01,4.387500000000000000e+02,3.864178437908891084e+01,2.925000000000000000e+01,7.854139036202504087e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,8.970209030176800047e-01,7.969309522483928460e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.543726468086242676e+01,3.492608985822108281e+01,2.240396138882637024e+04,4.194391624637257337e+03,1.071382500000000000e+05,1.238157621983162608e+04,4.735221130221130181e+01,6.084312638737898737e+00
