alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search
0.948545932	0.605134977	93.706	10.054	97.146	64.706	0.963695356	{a}and({c}{d})lo2({f}{b}{e})xor({g}{h})	0.981947195	28	0.956167119	0	499	20	733	470	36	4	12	7	0.977264806	0	0	1	0	5.892849684	14500	313.7679443	9396	35.2
0.964864492	0.606096832	94.126	10.182	97.874	65.126	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	29	0.956503591	0	471	20	679	442	36	4	12	7	0.915241127	0	0	1	0	7.498058081	15000	321.2660024	9670	35.53333333
0.964864492	0.606802511	96.306	10.162	101.278	67.306	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	30	0.956503591	0	491	20	708	462	36	4	12	7	0.915241127	0	0	1	0	6.358573675	15500	327.6245761	9921	35.99354839
0.964864492	0.589771073	98.002	10.152	103.76	69.002	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	31	0.956503591	0	482	20	700	453	36	4	12	7	0.915241127	0	0	1	0	6.356490135	16000	333.9810662	10174	36.4125
0.964864492	0.682635557	87.95	9.634	88.316	58.95	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	32	0.956503591	0	496	20	705	467	36	4	12	7	0.915241127	0	0	1	0	4.207099915	16500	338.1881661	10408	36.92121212
0.964864492	0.630320766	91.786	9.934	94.118	62.786	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	33	0.956503591	0	437	20	626	408	36	4	12	7	0.915241127	0	0	1	0	7.727837324	17000	345.9160035	10641	37.40588235
0.964864492	0.601127431	96.56	10.286	101.514	67.56	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	34	0.956503591	0	449	20	649	420	36	4	12	7	0.915241127	0	0	1	0	5.497490168	17500	351.4134936	10883	37.81142857
0.964864492	0.674552627	87.752	9.556	88.114	58.752	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	35	0.956503591	0	361	20	503	332	36	4	12	7	0.915241127	0	0	1	0	5.904287338	18000	357.317781	11087	38.40555556
0.964864492	0.616232836	90.362	10.068	92.08	61.362	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	36	0.956503591	0	426	20	600	397	36	4	12	7	0.915241127	0	0	1	0	4.784159899	18500	362.1019409	11315	38.83783784
0.964864492	0.620602847	97.93	10.448	103.64	68.93	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	37	0.956503591	0	439	20	628	410	36	4	12	7	0.915241127	0	0	1	0	5.261861801	19000	367.3638027	11538	39.27368421
